,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Community Area,Year
157997,12648401,JF181137,03/19/2022 07:00:00 PM,091XX S BRANDON AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,4,South Chicago,2022
158006,12806502,JF371492,08/26/2022 10:00:00 AM,042XX W 76TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,8,West Lawn,2022
158024,12733457,JF284029,06/17/2022 11:03:00 PM,011XX N SACRAMENTO AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,12,West Town,2022
158065,12788592,JF350283,08/09/2022 09:30:00 AM,008XX S WABASH AVE,OTHER OFFENSE,TELEPHONE THREAT,MEDICAL / DENTAL OFFICE,False,False,1,Loop,2022
158074,12750021,JF304164,07/03/2022 06:25:00 PM,002XX N KOLMAR AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,11,West Garfield Park,2022
158085,12770284,JF328576,07/22/2022 12:31:00 PM,001XX S WESTERN AVE,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,True,11,Near West Side,2022
158088,12793107,JF355709,08/13/2022 09:35:00 AM,115XX S EGGLESTON AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER (SPECIFY),False,False,5,West Pullman,2022
158114,12677363,JF215799,04/22/2022 09:00:00 AM,008XX W 99TH ST,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,STREET,True,False,22,Washington Heights,2022
158142,12664669,JF200772,04/06/2022 09:55:00 PM,003XX E 82ND ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,6,Chatham,2022
158148,12695372,JF237782,05/11/2022 12:00:00 AM,026XX W WASHINGTON BLVD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,12,Near West Side,2022
158196,12662282,JF197807,04/01/2022 12:30:00 PM,002XX N WASHTENAW AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,False,False,12,East Garfield Park,2022
158199,12697193,JF240075,05/12/2022 06:49:00 PM,051XX W SCHOOL ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,16,Portage Park,2022
158236,12660627,JF195867,04/03/2022 11:15:00 AM,061XX N RAVENSWOOD AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER (SPECIFY),False,True,24,West Ridge,2022
158244,12753633,JF308520,07/03/2022 09:00:00 AM,071XX S CENTRAL PARK AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,8,West Lawn,2022
158250,12798045,JF361431,08/18/2022 11:20:00 AM,020XX W BIRCHWOOD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,24,Rogers Park,2022
158251,12788399,JF350108,08/09/2022 10:33:00 AM,010XX N MOZART ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,12,West Town,2022
158258,12822868,JF390759,09/10/2022 12:55:00 PM,103XX S GREEN BAY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE - YARD (FRONT / BACK),False,True,4,East Side,2022
158287,12786760,JF348078,08/07/2022 02:48:00 PM,015XX W 58TH ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,7,West Englewood,2022
158320,12732002,JF282129,04/01/2022 08:00:00 AM,051XX W WAVELAND AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,16,Portage Park,2022
158342,12653933,JF187619,03/26/2022 09:00:00 AM,035XX W 66TH ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,8,Chicago Lawn,2022
158347,12806642,JF371623,08/26/2022 06:50:00 PM,004XX E BOWEN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,2,Grand Boulevard,2022
158367,12709780,JF255298,05/25/2022 03:26:00 PM,062XX S WENTWORTH AVE,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,True,False,3,Englewood,2022
158381,12694371,JF236673,05/09/2022 01:00:00 PM,067XX S KEDVALE AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,False,False,8,West Lawn,2022
158385,12656683,JF190924,03/29/2022 11:03:00 PM,045XX N ELSTON AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,17,Albany Park,2022
158398,12718798,JF265411,06/02/2022 07:00:00 PM,046XX N CLIFTON AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOTEL / MOTEL,False,True,19,Uptown,2022
158403,12732377,JF282675,06/16/2022 10:57:00 PM,020XX N LAMON AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,25,Belmont Cragin,2022
158421,12757153,JF312739,07/10/2022 10:07:00 PM,034XX W NORTH AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,14,Humboldt Park,2022
158457,12767320,JF325051,07/19/2022 12:00:00 AM,041XX W GLADYS AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,11,West Garfield Park,2022
158491,12811217,JF376044,08/27/2022 06:59:00 PM,051XX S TROY ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,9,Gage Park,2022
158496,12786783,JF348189,07/22/2022 10:48:00 PM,027XX S STATE ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1,Douglas,2022
158499,12666871,JF203433,04/10/2022 11:15:00 AM,105XX S INDIANA AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,5,Roseland,2022
158502,12650596,JF183457,03/23/2022 07:21:00 AM,035XX W CONGRESS PKWY,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,11,East Garfield Park,2022
158515,12670741,JF207962,04/13/2022 07:00:00 AM,011XX N LA SALLE DR,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,18,Near North Side,2022
158539,12834687,JF405143,09/19/2022 07:00:00 AM,023XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,1,Near South Side,2022
158551,12659699,JF194695,04/02/2022 11:57:00 AM,055XX W MONROE ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,15,Austin,2022
158563,12674068,JF212058,04/01/2022 08:00:00 AM,066XX S FAIRFIELD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,8,Chicago Lawn,2022
158572,12740750,JF292757,06/24/2022 06:41:00 PM,035XX W NORTH AVE,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESIDENCE - PORCH / HALLWAY,False,False,14,Humboldt Park,2022
158577,12746073,JF299262,06/16/2022 08:30:00 PM,035XX W 75TH PL,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,8,Ashburn,2022
158584,12770619,JF329046,07/23/2022 07:23:00 PM,032XX S GREEN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,9,Bridgeport,2022
158591,12666588,JF203070,04/09/2022 11:27:00 PM,080XX S MARYLAND AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,6,Chatham,2022
158638,12807403,JF372547,08/27/2022 02:20:00 PM,051XX S KENWOOD AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2,Hyde Park,2022
158649,12649863,JF183072,03/22/2022 06:30:00 PM,012XX W VAN BUREN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,12,Near West Side,2022
158651,12723237,JF271579,06/08/2022 12:00:00 AM,110XX S AVENUE N,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,4,East Side,2022
158707,12741510,JF293813,06/24/2022 05:00:00 PM,005XX N LAVERGNE AVE,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),False,False,15,Austin,2022
158730,12755339,JF310503,06/15/2022 12:00:00 PM,052XX S WHIPPLE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,9,Gage Park,2022
158760,12754256,JF308909,07/04/2022 12:00:00 PM,036XX S LAKE PARK AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,2,Oakland,2022
158784,12646450,JF177407,03/04/2022 05:07:00 PM,031XX W 26TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,10,South Lawndale,2022
158792,12643222,JF174641,03/15/2022 12:30:00 PM,004XX E 79TH ST,OTHER OFFENSE,LICENSE VIOLATION,GROCERY FOOD STORE,True,False,6,Chatham,2022
158801,12667027,JF203437,04/10/2022 11:21:00 AM,010XX N LECLAIRE AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,False,True,15,Austin,2022
158833,12662637,JF198313,03/22/2022 05:00:00 PM,048XX W ADAMS ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,15,Austin,2022
158852,12738425,JF289971,06/19/2022 11:53:00 AM,022XX W MONROE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,12,Near West Side,2022
158896,12798234,JF361709,08/10/2022 08:10:00 PM,062XX S KNOX AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,8,Clearing,2022
158908,12734145,JF284852,06/18/2022 02:50:00 PM,020XX S MICHIGAN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,1,Near South Side,2022
158934,12686376,JF226816,05/01/2022 06:10:00 PM,084XX S KENTON AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Ashburn,2022
158945,12682142,JF220632,04/26/2022 12:00:00 PM,029XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1,Douglas,2022
158966,12639158,JF170180,03/11/2022 09:41:00 AM,027XX E 75TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,3,South Shore,2022
158988,12764469,JF321660,07/17/2022 03:00:00 PM,073XX N SHERIDAN RD,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,24,Rogers Park,2022
158998,12656859,JF191103,03/30/2022 08:30:00 AM,016XX W 63RD ST,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,7,West Englewood,2022
159018,12803513,JF367930,08/23/2022 09:00:00 PM,032XX W NORTH AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,14,Humboldt Park,2022
159051,12786383,JF347588,08/07/2022 10:13:00 AM,005XX W DIVISION ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,18,Near North Side,2022
159065,12798747,JF362164,08/17/2022 03:00:00 PM,041XX N WESTERN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,19,North Center,2022
159088,12688123,JF228926,04/23/2022 06:58:00 PM,008XX W LAKE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,12,Near West Side,2022
159108,12820954,JF388430,09/08/2022 05:16:00 PM,052XX N LUDLAM AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,False,16,Jefferson Park,2022
159116,12730386,JF280326,06/14/2022 08:49:00 PM,070XX S GREEN ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,7,Englewood,2022
